Type,Air_temperature__K_,Process_temperature__K_,Rotational_speed__rpm_,Torque__Nm_,Tool_wear__min_,Machine_failure
L,299.5,309.3,1477,40.4,138,0
H,300.6,310,1483,44,97,0
M,297.6,307.1,1526,39.1,39,0
M,297.4,308.4,1564,35,105,0
M,300.9,309.4,1724,25.6,119,0
L,297.2,308.5,1446,43.7,171,0
L,299,310.1,1375,48.9,59,0
L,299.8,311.1,1412,42.5,181,0
L,297.8,307.8,1452,39.8,21,0
M,304.4,313.6,1510,38.9,199,0
M,298.7,310.1,1402,69.7,64,1
M,297.4,308.3,1535,34.6,51,0
H,298.5,309,1531,30.8,212,0
M,298.8,310,1486,38.5,55,0
L,298.9,309.9,1590,31.3,98,0
L,297.4,308.3,1706,30.9,9,0
L,301.1,312.4,1430,37.9,124,0
L,298.4,309.5,1545,36.6,117,0
M,301,312.1,1664,28.4,168,0
H,299.2,308.7,1375,55.1,78,0
L,301.5,310.9,2760,8,15,1
M,303.9,313.1,1483,47.2,71,0
M,300.4,311.7,1398,42.6,176,0
M,300.3,309.9,1447,46.5,28,0
H,298.3,309.5,1521,37.1,84,0
L,297.7,308.9,1742,26.3,24,0
L,297.5,308.6,1437,43.3,34,0
M,303.7,312.9,1444,52.7,46,0
M,300.4,311.7,1832,24.2,179,0
M,298.4,309,1544,38.8,97,0
L,300.5,311.9,1576,31.1,149,0
L,302.3,311.8,1487,43.2,206,0
M,303.7,312.7,1316,51.8,197,0
L,300.4,311.2,1471,46.5,164,0
L,298.9,309.8,1390,49.9,21,0
L,298.4,310.1,1926,23.7,83,0
L,301.4,310.8,1698,29.6,99,0
M,303.6,312.1,1627,32.5,7,0
L,297.3,308.4,1513,40.5,25,0
L,302.2,311.5,1481,40.4,93,0
H,297.1,308,1559,38.8,229,0
L,297.8,309.7,1394,42.9,206,0
M,300.9,312,1447,41.4,193,0
M,300.5,309.4,1655,32.1,37,0
H,298.7,308.5,1420,45.7,143,0
L,303.8,312.8,1646,35.8,143,0
L,297.7,309.6,1529,35.2,153,0
L,301.9,310.9,1799,24.2,54,0
L,297.8,308.8,1579,32.9,70,0
L,300.7,312.3,1590,36.3,93,0
L,298.3,307.9,1766,26.5,145,0
H,304.2,313,1442,40.9,23,0
L,301.8,310.3,1341,50.5,64,1
L,301.7,311.3,1421,45.9,85,0
M,300.2,311.7,1397,50.2,71,0
M,300.6,309.4,1521,37.2,90,0
M,300.4,309.4,1362,42.1,182,0
L,298.8,309.1,1439,39.2,104,0
L,302.4,311,1338,67.6,194,1
M,298.3,308,1463,42.5,190,0
L,297.2,308.5,1494,39.6,181,0
M,298.2,307.8,1578,34.5,127,0
L,298.7,309.7,1462,46.8,4,0
H,297.2,307.9,1450,37.2,151,0
L,303,311.3,1466,43,210,0
L,296.7,307.8,1505,39.4,236,0
M,297.2,308.5,1364,55.6,163,0
L,299,310.4,1981,21.2,125,0
L,300.9,311.2,1789,25.5,114,0
L,301.7,310.9,1608,33,160,0
L,302.5,310.2,1586,32.2,64,0
H,301.6,310.6,1400,49.5,211,0
L,301,309.6,1724,28.1,133,0
L,297.3,308.1,1458,45.7,202,0
L,298.8,309.8,1509,36.2,57,0
L,302.3,311,1657,31.1,3,0
L,299,310.3,1552,39.9,114,0
M,300.8,310.6,1669,28.4,79,0
M,303.4,312.9,1422,39.9,63,0
M,297.7,308.9,1573,35.1,9,0
H,303.6,312.4,1480,50.7,2,0
H,298.9,310.1,1366,62.7,161,0
M,297.4,308.6,1452,41.2,197,0
L,298.6,309.8,2271,16.2,218,1
L,299.9,309.2,1560,38.9,180,0
M,299.1,308.3,1506,38,125,0
M,297.8,309.3,2243,15.7,36,0
H,297.4,308.2,1359,46.9,199,0
L,298.6,309.9,1564,37.1,30,0
L,297.9,309.5,1390,47.9,127,0
L,302.3,311.4,1476,37.3,20,0
L,301.3,310.4,1504,47.2,193,0
L,297.3,307.9,1797,24.7,75,0
L,301.7,311,1527,42.2,144,0
L,302,310.6,1392,50,84,0
H,302.2,311.9,1597,35.8,160,0
H,298.8,308.2,1450,44.7,14,0
M,298.2,308.4,1510,39.9,134,0
L,298.1,307.7,1705,29.1,109,0
L,298.1,308.2,1485,40.7,57,0
M,303.6,312.7,2174,17.6,37,0
M,301.6,310.7,1813,24.6,210,0
H,301.5,310.5,1551,34.3,166,0
L,299,308.7,1537,42.8,202,0
M,299,308.8,1418,45.7,204,0
L,298.9,310.1,1580,37.3,100,0
L,299.9,309.2,1761,25.6,115,0
L,301.8,311.2,1822,26.2,204,0
L,301.3,310.6,1436,44.2,76,0
M,302.6,311,1542,39.7,141,0
L,297.4,308.3,1571,37.7,162,0
M,301.7,310.7,1442,41.1,89,0
M,296.4,307.5,1684,31.4,72,0
L,300,309.4,1308,50.2,32,0
M,298.3,309.5,1543,49.9,199,0
H,303,312.5,1698,30,89,0
L,300.4,309.7,1584,32.6,71,0
M,300.5,311.6,1246,52.9,165,0
L,297.4,308.7,1429,57.4,96,0
H,298.3,309.1,1646,30.2,125,0
L,296.9,307.9,1359,56.5,110,0
H,300.8,310.5,1559,40.1,220,0
H,297.4,308.6,1420,45.8,120,0
M,300.3,309.6,1398,53.7,82,0
M,295.9,306.6,1532,38.6,104,0
H,296.7,308.1,1528,46.3,203,0
L,299,309.1,1523,38.6,177,0
M,297.8,308.5,1466,44.7,88,0
L,301.1,310.8,1608,32.9,119,0
M,300.2,309.8,1743,24.1,18,0
L,301.1,310.2,1657,34.1,52,0
L,298.9,310,1470,45.9,109,0
M,303.7,313,1303,54.4,2,0
M,302.2,311.5,1443,47,90,0
L,301.4,311,1470,40.6,86,0
L,300.6,309.6,1684,32.8,53,0
L,297,308.1,1455,43.5,122,0
M,297.6,308.4,1611,31,48,0
H,302.2,311.2,1692,28.2,122,0
L,301.6,311.1,1325,49.2,104,0
M,300,309.3,2293,16.3,170,0
L,298.2,307.8,1375,46.6,188,0
M,303.4,312.2,1972,23.5,59,0
L,295.6,306.2,1287,54.8,49,0
M,301.2,310.7,1527,41.1,53,0
H,303.5,311.5,1629,33.5,73,0
L,297.1,308.7,1474,42.3,64,0
M,301,312,1558,37.5,190,0
L,297.5,309.2,1715,28,30,0
H,300.7,310.6,1631,32.6,43,0
L,298,308.9,1500,36.7,104,0
M,300.6,310.7,1388,42.9,190,0
L,298,307.6,1683,32.8,122,0
L,298.6,309.8,1497,41.6,118,0
H,299.6,310.1,1531,36.8,62,0
M,301.3,310.7,1391,52.5,61,0
H,299,310.1,1555,38.6,118,0
M,299.7,309,1645,31.9,155,0
L,302.6,310.2,1325,62.4,92,1
M,302.3,311,1578,33.5,158,0
L,297.8,307.8,1383,56.5,98,0
L,298.2,308.1,1532,42.5,154,0
L,298.7,309.6,1364,44.9,106,0
L,298,309.1,1473,44.3,124,0
M,303.5,312.2,1818,23.6,109,0
M,302.6,311.6,1518,39,184,0
L,298.3,308.1,1326,58.4,90,0
L,301.8,309.7,1598,30.4,124,0
L,296.8,307.6,1434,48.3,138,0
M,300.7,311.7,1701,30.8,44,0
L,301.3,310.6,1426,40.7,54,0
M,299.7,310.2,1440,42.8,30,0
H,299.3,310.4,1510,45.5,27,0
L,297.5,308.4,1441,44.5,4,0
L,298.8,308.6,1872,22.5,82,0
L,298.4,309.5,1397,50.3,110,0
M,300.8,310.7,1572,36.2,167,0
M,298.9,310.1,1441,41.2,189,0
L,299.3,309.2,2280,15.4,207,0
L,297.5,308.7,1407,42.5,145,0
M,300.5,309.5,1691,27.6,67,0
L,297.9,308.6,1757,27.5,118,0
L,298.5,309.3,1623,33.1,109,0
L,297.1,307.8,1584,42.3,135,0
L,301.4,310.6,1381,46.1,70,0
L,297.3,308.2,1896,24.4,47,0
M,297.6,308.4,1398,48.9,63,0
M,299.2,308.9,1573,37.4,212,0
L,303.1,312.8,1465,44.1,109,0
L,303.8,312.6,1565,36,179,0
M,298.2,307.7,1952,21.6,93,0
M,298.4,309.5,1344,45.3,122,0
H,297.7,308.4,1738,27.7,96,0
M,301,310.9,2047,17.9,178,0
M,298.2,308.3,1522,49.1,22,0
L,300.5,309.3,1417,51.5,231,1
L,299.4,308.7,1504,37.8,112,0
L,301.7,310.6,1624,34.5,216,0
L,302,310.8,1447,42.7,229,0
L,299.8,309.7,1429,42.6,127,0
L,303.2,311.3,1393,52.9,12,0
L,299.2,308.9,1588,41.5,150,0
L,299.4,310.7,1551,41.2,3,0
M,297.5,308.1,1480,42.4,112,0
M,297.5,308.6,1472,44.9,198,0
L,299.1,308.5,1539,46.8,190,0
L,303.7,312.7,1540,44.8,196,0
M,298.9,308.6,1574,33.5,128,0
L,303.5,312.7,1393,49.3,82,0
M,299.5,309,1399,49.7,207,0
M,304.1,313.4,1518,42.4,105,0
L,303.7,312.8,1364,46.3,44,0
L,300.5,311,2074,18.9,9,0
L,297.1,308.2,2267,15.7,181,0
H,302.5,312,1357,42,179,0
M,300.9,310.5,1444,43.2,27,0
L,299.3,309.1,1551,39.1,147,0
L,299.8,310.4,1698,28.3,103,0
M,298.1,307.7,1445,48,73,0
L,298.7,310.1,1641,31.1,49,0
M,300.9,312.1,1617,31,148,0
M,297.2,308.3,1431,43.7,46,0
L,299.1,308.3,1489,38.1,32,0
M,298.9,308.5,1534,42.9,121,0
M,297,308.1,1507,43.1,51,0
L,300.4,311.6,1517,39,45,0
L,297.6,308.3,1438,47.8,84,0
M,300.7,311.8,1407,42.4,224,0
M,300.6,310.5,1462,41.3,68,0
M,301.7,311,1311,55.8,39,0
L,302,310.6,1583,35.2,171,0
L,300,309.1,1465,40.6,9,0
M,301,312.2,2710,9.7,143,1
M,299.7,309.3,1399,41.9,221,1
L,300.7,310.8,1534,41.3,69,0
M,301,310.9,1575,34.6,150,0
L,298.1,307.4,1608,33.9,193,0
L,299.9,309.2,1598,34.6,111,0
H,298,307.4,1606,35.2,195,0
M,297.4,308,1440,42.4,190,0
L,301.7,310.8,1559,44.5,135,0
M,298.3,309.4,1595,29,103,0
L,297.8,309.3,2015,20.1,161,0
L,301.6,311.1,1680,29.2,111,0
L,298.3,308.2,1663,28.4,67,0
L,301.3,310,1344,54.8,186,0
H,301.1,311,1339,52.8,194,0
L,301,311,1402,55.3,98,0
L,297.1,308.3,1773,23.8,169,0
L,301.9,310.4,1370,51.7,153,1
L,299.7,309.2,1411,46.1,173,0
L,298.4,309.6,1710,27.3,163,1
M,298.2,308.8,1626,40.4,20,0
L,303.7,312.8,1523,40.7,59,0
M,299.4,309,1381,44.9,88,0
L,300.3,311.4,1343,57.7,142,0
L,300.7,310,1395,48,85,0
L,298.6,309.4,1315,55.5,28,0
L,301.3,310.7,1761,24.3,174,0
L,304.4,313.7,1509,35,205,1
M,300.6,310.3,1614,32.7,0,0
M,302.5,310.2,1751,30.5,90,0
L,300.3,311,1613,34.7,142,0
L,303.3,311.4,1630,32.5,2,0
M,302.3,311.3,1339,50.8,123,0
L,300.7,311.2,1878,24.3,24,0
M,300.8,312.6,1588,35.6,114,0
L,297.3,308.7,1491,40.2,112,0
M,300.3,309.5,1320,62.2,142,0
L,302.8,312.3,1386,57.8,172,0
M,302.6,312.2,1458,38.8,34,0
L,299.6,310.2,1512,44,79,0
M,298,308.2,1466,42.6,2,0
M,299,310,1667,30,53,0
M,301.6,311,1431,42.3,129,0
M,298.5,309.3,1488,43.7,189,0
L,302.5,311.9,1354,49.4,117,0
L,302.5,311.1,1571,34.2,201,0
L,297.9,308.8,1681,31.7,94,0
M,299.9,309.1,1513,43.8,188,0
L,300,309.6,1618,28.7,53,0
L,296.8,307.6,1368,52,140,0
L,302.2,311.9,1596,38,156,0
L,304,313.1,1720,28.7,106,0
M,300.5,312,1985,19.3,143,0
M,298.8,308.4,1604,29.5,14,0
M,299.2,308.3,1582,45.5,107,0
L,298.5,309.3,1630,33.3,116,0
M,302.1,310,1355,45.1,6,1
M,297.4,308.9,1323,57.3,163,0
L,300.6,311.7,1432,39.2,2,0
M,298.4,310.1,1335,57.8,96,0
L,300.1,309.6,1546,36.7,77,0
L,300,310.2,1486,36.4,66,0
M,296.3,307.2,1454,42.5,35,0
M,303.7,312.9,1406,41.9,48,0
H,300.9,311.9,2140,16.5,43,0
L,295.6,306.2,1426,48.6,124,0
H,297.4,308.7,1429,37.6,118,0
L,300.7,311.2,1452,44.4,33,0
H,301.8,311.1,1543,36.4,120,0
L,297.4,308.4,1369,50.6,220,1
M,302.2,310.9,1771,27.6,54,0
M,297.5,309.4,1433,48.3,139,0
M,298.3,308.9,1646,25.4,46,0
M,301.7,311,1298,58.1,168,0
L,296.9,308.1,1435,45.3,62,0
M,300.7,309.5,1633,31.3,90,0
M,300.8,309.7,1482,39,171,0
L,300.7,310.1,1721,32.3,170,0
L,298.3,307.7,1465,49.4,109,0
L,300.5,311.4,1445,41.5,66,0
L,303.8,312.6,1793,28.1,170,0
L,300.6,311.8,1501,44.8,226,0
M,297.5,308.8,1455,46.1,147,0
M,302.5,311.5,1358,52.7,139,0
L,298,308.4,1432,46.2,11,0
L,300,310,1486,41.8,69,0
M,300.2,311.4,1450,38.5,68,0
M,301.1,310.7,2636,12.2,100,1
M,299.4,309.1,1500,43.3,10,0
M,301.4,311,1486,36.5,91,0
M,303.7,312.7,1396,47.3,158,0
H,301.1,311.3,2207,16.6,43,0
L,300.9,310.7,1658,28.5,18,0
M,301.6,310.7,1421,44.4,94,0
L,300.1,311.1,1619,33.4,186,0
L,303.2,311.5,1544,42.5,227,0
L,302.7,312.1,1601,35.2,31,0
L,301,311.2,1363,46.3,62,0
L,303.8,313.3,1406,52.1,166,0
L,302.7,312.4,1444,48.7,9,0
L,298.8,309.8,1663,28.2,67,0
H,301.1,310.8,1792,25.8,121,0
M,301.4,310.8,1530,39.9,107,0
L,301.4,310.7,1487,44.6,88,0
L,299.3,310.4,1365,53.9,171,0
H,297.7,307.2,1429,44.1,26,0
L,297.5,308.9,1581,30.4,155,0
M,298.8,309.7,1499,40.3,154,0
L,298.7,309,1691,30.1,154,0
L,301.4,310.4,1388,45.3,188,0
L,299.8,309,1567,36.1,95,0
M,301,309.8,1594,31.1,143,0
M,298.1,309,2042,17.8,129,0
L,300.7,310.4,1543,47.3,203,0
L,298.6,309.6,1423,42.7,82,0
H,298,309.4,1490,40.5,53,0
M,301.7,311,1505,37.1,190,0
L,299.9,311.3,1522,45.7,153,0
L,297.4,308.3,1483,38.8,23,0
L,299.8,309.5,1495,39.6,10,0
L,296.9,308.4,1557,32.4,173,0
M,297.4,308.5,1497,36.4,56,0
M,297.6,308.5,1466,39.7,34,0
M,302.5,312,1487,46.1,175,0
L,299.3,310.4,1629,32.6,177,0
L,300.6,310.4,1494,47.3,118,0
L,300.8,311.1,1480,41.1,176,0
L,298,308.7,1629,34.3,191,0
M,298.7,309.8,1435,48.8,71,0
L,298.6,309.6,1353,62.5,9,0
L,295.5,306.1,1573,35.1,129,0
L,302.2,311.5,1616,34,19,0
L,302.2,310.8,2203,16.6,47,0
L,300.3,311.9,1692,31.5,187,0
L,300.3,311.4,1759,24.8,34,0
M,302.2,310.8,1562,38.1,78,0
H,302.4,311.9,1366,47.3,162,0
M,295.6,306.1,1490,42.7,171,0
L,299,310.1,1470,40.3,83,0
M,301.4,310.6,1431,40.6,101,0
L,302.3,311.8,1435,44.8,98,0
M,298.1,309,1976,19.3,158,0
L,299.1,310.6,1577,37.1,44,0
L,299.3,308.6,1482,37.6,132,0
L,296.8,308,1391,54.4,17,0
L,299.8,310,1697,36,175,0
L,302.2,311.4,1390,48.1,40,0
L,303.8,312.9,1819,23.7,16,0
L,300,311.3,1520,39.2,43,0
L,303.7,313.1,1496,47.4,48,0
L,302,310.4,1591,29.8,105,0
L,299,308.6,1429,37.7,126,0
L,301.9,310.6,1573,36.6,15,0
L,300.2,311.6,1767,26.4,20,0
M,299.5,308.9,1448,42.9,74,0
M,298.8,310.5,1678,32.8,4,0
M,297.5,308.6,1349,51.5,21,0
L,298.7,310.2,1363,45.5,28,0
L,299.7,309.1,1347,55.3,139,0
L,298.3,309.4,1546,36.1,94,0
L,303,311.2,1409,41.9,98,0
L,300.4,311.8,1367,57.2,10,0
M,298.1,307.8,1384,43.7,200,0
M,303.3,311.8,1548,33.5,75,0
L,297.2,308.6,1774,23,30,0
H,301.3,310.1,1469,39.7,179,0
L,298.2,308.8,1354,60.9,32,0
L,297.6,309.5,1617,36.2,42,0
M,298,309.4,1276,65.9,50,0
L,300.2,309.5,1356,51.1,133,0
M,299.9,309.2,1353,49.8,182,0
H,300.1,309.3,1448,45.8,163,0
L,296.6,307.4,1368,45.1,185,0
L,300.6,310.2,1555,41.9,19,0
L,302.9,311.1,1556,45.3,135,0
H,298.5,309.3,1421,50.3,124,0
L,300.4,309.9,1681,28.6,206,0
M,297.3,308.3,1544,41.7,6,0
L,300.6,310.1,1485,49.9,19,0
M,300.9,310.8,1988,19.7,136,0
L,303.3,311.8,1842,24.5,67,0
M,298.1,308.9,1335,50.4,110,0
L,298.4,309.3,1716,28.4,66,0
L,299,310.3,1501,43,91,0
M,303.9,313.2,1608,40.6,79,0
M,298,309,1409,49.1,85,0
H,299.8,310.2,1537,36.6,191,0
M,302.3,311,1450,45.7,175,0
M,298.8,309.1,1368,49.1,117,0
L,301.5,311,1494,45.3,99,0
M,299.7,310.5,1492,39.3,131,0
M,303.3,311.5,1384,54.8,48,0
L,299.1,310.1,1367,45.6,44,0
H,301.1,311.6,1417,53.4,0,0
M,303.9,313.1,1473,42.8,97,0
L,298.9,309.1,2861,4.6,143,1
H,297.3,308.2,1653,31.4,9,0
L,303.5,312.1,1326,55.7,114,0
L,300.6,310.3,1794,24.4,211,0
L,302.6,310.4,1638,36.2,84,0
L,301.6,310.8,1355,57.8,195,1
L,298.2,309.1,1467,44.5,80,0
M,297.2,308.6,1513,39,78,0
L,302.9,312.2,1677,30.5,46,0
M,300.2,309.7,1413,43,137,0
L,298.3,308.5,1606,33.6,67,0
L,298.5,309,1450,40.5,199,0
H,299.7,310.8,1418,46.6,197,0
L,300.4,309.7,1384,45.1,159,0
L,300.8,310.6,1663,30.6,139,0
M,297.5,308.4,1403,44.3,25,0
H,298.2,307.9,1462,45.5,171,0
L,302.7,311.5,1494,41.4,149,0
L,303.4,311.5,1501,36.2,69,0
M,300.7,310.6,1488,39.2,189,0
M,301.7,310.1,1644,34.6,5,0
L,299.7,309.2,1401,54.1,118,0
L,302.4,311,1555,40.6,205,0
H,298.1,309,1438,41.4,60,0
L,297.3,308.7,1556,36.7,114,0
L,300,309.6,1526,46.4,150,0
L,303.3,312.2,1506,40,50,0
L,303.6,312.3,2168,17.7,219,0
M,300.3,310,1537,37.5,6,0
H,303.6,312.4,1436,45.6,9,0
M,299.6,310.6,1633,34.2,151,0
L,301.5,310.5,1479,34.2,147,0
H,297.5,308.3,1674,30,54,0
H,301.8,310.8,1470,37.6,204,0
L,299.1,308.7,1498,38.9,181,0
M,299.3,310.5,1462,40.5,24,0
L,301.2,312.3,1528,38.4,85,0
M,303.1,312.5,1667,30,160,0
M,298.7,309.1,1423,49.5,200,0
L,302.7,310.9,1395,48.3,80,0
M,298.3,307.9,1609,32.4,151,0
L,300.5,309.8,1428,43.8,119,0
L,296.9,307.7,1464,41.4,6,0
L,299.7,310.9,1384,48.2,188,0
M,298.1,309.6,1549,38.7,43,0
H,299.1,310.1,1429,42.9,96,0
L,299.2,309.9,1516,41.4,219,0
L,298.4,309.7,1530,38.6,161,0
L,300,309.2,1444,43.6,123,0
M,300,309.6,1618,36.2,53,0
M,299.8,310,1460,37.1,169,0
L,298.4,309.1,1423,48,135,0
M,300.6,310.7,1705,31.2,181,0
M,298.8,308.6,1507,42.3,207,0
H,300.7,310.8,1296,58.2,204,0
L,302.5,312,2052,18.9,40,0
M,301,310.7,1517,40.2,171,0
L,300.2,310.2,1440,42.9,191,0
M,302.2,311.1,1728,34,179,0
M,301.4,311.2,1476,36.5,25,0
M,297.3,308.4,1686,34.5,97,0
L,297.4,308.5,1501,44.9,20,0
L,303.8,312.7,1596,36.6,134,0
L,298.5,308,1404,48.1,32,0
L,298.2,309.1,1569,35.2,199,0
H,297.7,307.1,1855,22.5,7,0
M,303.4,311.9,1419,50.9,39,0
M,300.3,309.9,1494,38.5,33,0
L,299.7,311,1827,25.4,194,0
L,301.9,311,1376,44.9,186,0
M,302.3,311.2,1507,47.7,70,0
L,298.6,309.6,1611,35.7,23,0
M,299.1,308.4,1330,53.6,62,0
L,296.7,308.1,1450,40.9,195,0
L,302,310.6,1325,55.3,192,0
M,300.7,310.6,1418,46.3,84,0
H,300.5,310.5,1403,47.7,24,0
M,298.2,309,1441,44.2,147,0
L,298.7,308.5,1616,30.2,34,0
M,299.9,309.3,1389,52.8,0,0
H,299.2,308.9,1712,26.4,95,0
M,299.3,310.6,1609,31.4,99,0
L,302.5,312,1411,44.2,177,0
M,301.4,310.6,1565,36.1,110,0
L,298.5,308.2,1451,47.5,18,0
L,298.2,309,1489,40.6,89,0
L,300.4,310.1,1503,42.2,196,0
L,303.5,312.7,1694,27.3,40,0
L,300.5,310.6,1499,45.2,8,0
M,298.9,309.9,1645,31.4,86,0
L,298.7,310.1,1786,27.7,114,0
L,301.2,311.7,1433,49.3,206,0
L,302.5,310.5,1463,43,189,0
M,304,313,1685,28.2,66,0
L,302.9,312.2,1729,23.6,96,0
L,299.7,309.5,1352,49.7,184,0
L,298.2,309.4,1443,45.4,187,0
L,299.9,311,1747,27.6,177,0
M,300.4,309.7,1367,51.2,143,0
L,302,311.2,1845,27.3,45,0
L,300.9,311,1382,51.2,136,0
H,297.3,308.4,1531,35.6,16,0
M,300.2,311.4,1570,35.3,138,0
H,302.2,311.4,1625,35.4,70,0
L,301.4,311.1,1495,36.3,193,0
H,299.8,309.7,1368,47.4,148,0
L,297.6,308,1258,57.4,139,0
H,302.5,311.1,1850,23.3,203,0
M,297.2,308.5,1364,54,43,0
L,298.8,308.6,1593,35.5,175,0
M,299,310.2,1564,39.9,97,0
M,296.9,307.9,1441,47.6,60,0
L,300.7,311.8,1441,38.1,34,0
M,298.3,309,1802,27.5,71,0
L,303.6,312,1309,52.9,86,1
L,299.3,309,1786,23.5,100,0
H,298.6,309.6,1593,33.3,95,0
L,302.6,312.2,1377,45.5,54,0
L,302.4,312,1305,49.1,16,0
M,303.5,311.6,1573,34,134,0
L,301.2,310.6,1811,24,84,0
L,300.3,309.3,1478,39.5,180,0
H,303.8,312.9,1378,45.6,184,0
M,299.5,309.3,1506,41.5,77,0
H,298.9,310.3,1243,63,163,0
L,300.4,311.6,1200,76.6,3,1
M,300.7,311.5,1569,36.4,20,0
H,304,313.1,1408,39.8,132,0
L,298,308.2,1348,58.8,202,1
L,299.8,309.7,1457,51.9,89,0
L,303.7,312.8,1543,38.3,61,0
L,300.3,310.4,1493,37.5,219,0
M,299,310,1337,57.4,146,0
H,297.9,308.7,1545,35.9,120,0
L,300.1,309.3,1570,36.8,189,0
H,298.3,308,1553,41,52,0
M,298.8,309.6,1575,34.4,149,0
L,297.4,308.2,1386,41,35,0
L,298.8,308.6,1431,45.7,97,0
L,298.7,309.9,1371,51.3,201,0
L,302.1,310.1,1543,35.8,164,0
L,300.3,311.7,1571,31.2,123,0
L,303.6,313.1,1405,38.3,58,0
L,301.6,310.2,1384,57.1,68,0
M,300.5,309.3,1578,30.5,34,0
L,304.1,313.4,1374,56.6,115,0
L,298.1,307.7,1495,48.1,111,0
M,302,310.4,1567,36.4,114,0
H,295.7,306.2,1458,49.8,151,0
M,301.3,310.8,1418,45.4,59,0
L,299.4,309.1,1957,22.1,55,0
L,300.6,311.9,1463,38.2,41,0
H,298.3,308.6,1432,49.5,91,0
L,298.9,309.8,1534,42.1,23,0
L,298.1,307.6,1950,20.3,202,0
L,300.5,311.9,1383,50.5,35,0
M,298.7,308.4,1507,45.7,192,0
M,301.9,311,1432,41.5,51,0
L,297.8,307.5,1388,40,159,0
L,299.8,309.1,1612,35.4,205,0
M,303.9,313.1,1437,48.3,110,0
M,297.4,309,1497,41.8,144,0
L,298.4,309.2,1425,45.5,11,0
L,299.6,310.9,1716,28.5,117,0
L,304,313,2012,21.1,115,0
L,299,308.7,1449,38.9,18,0
L,303.5,312.2,1511,37.1,27,0
L,303.5,312.8,1607,38.4,92,0
L,299.9,310,1402,44.7,204,0
M,299.7,309.2,1608,34.4,68,0
M,299.2,308.4,1396,48.5,5,0
M,298.3,309.4,1816,22.6,138,0
M,297.9,309.6,1515,38.8,124,0
L,298.9,308.6,1400,49.5,79,0
L,300.6,310.6,1514,39.5,87,0
L,297.3,308.3,1333,55.2,11,0
L,298,307.7,1529,34.1,11,0
H,300.6,310.5,1519,37,91,0
M,302.5,311.9,1298,57.5,57,0
L,298.2,308.2,1478,50.1,166,0
M,300.6,309.7,1428,42.6,23,0
L,300.8,311.2,1430,54.4,85,0
L,299.7,309.6,1399,51.3,144,0
L,300,310.4,1505,44.9,133,0
M,300.5,310.2,1571,34.6,228,0
L,296.6,307.6,1542,37.4,88,0
L,299.4,309.2,1607,31.7,145,0
L,302.3,310.9,1529,33.4,62,0
M,299.5,309.2,1497,40.9,169,0
L,298.5,308,1384,59.5,27,0
L,299.4,308.6,1746,26.8,107,0
L,297.2,308.6,1413,49.8,12,0
L,300.7,310.8,1772,27.3,69,0
M,296.8,307.4,1455,49.9,102,0
L,302.2,311.3,1530,37.3,207,1
L,296.7,307.9,1420,50.1,138,0
L,303.1,311.1,1854,22.6,19,0
H,298.4,308.5,1827,24.3,153,0
L,298.2,309,1341,43.8,171,0
M,296.9,307.8,1477,37.2,160,0
L,301.9,310.9,1574,31.4,27,0
L,302,310.5,1370,44.4,85,1
L,300.1,311.7,1503,42.6,208,0
L,300.3,310.2,1369,48.8,36,0
L,298.4,308.9,1501,50,203,0
L,297.6,308.6,1393,40.4,127,0
L,298.9,308.4,1301,51.1,138,0
L,302.4,311.9,1578,29.9,44,0
L,302.3,311.4,1434,40.3,133,0
L,299.3,309.1,1388,45.5,123,0
H,300.6,309.4,1691,28,36,0
L,300,309.3,1397,51.2,173,0
L,300,311.4,1374,41.9,96,0
L,298.1,307.7,1414,48.7,159,0
L,300.5,309.3,1475,46.8,94,0
L,298.9,310.2,1533,42.8,138,0
L,297.9,308.6,1468,36,168,0
L,301.2,310.7,1568,38.3,49,0
H,297.6,309.6,1278,50.4,2,0
H,302.4,311.1,1578,32.3,196,0
M,300.1,310.4,1556,38.1,92,0
H,298.7,309.7,1565,39.3,94,0
M,300.3,310.4,1293,49.7,37,0
M,304.3,313.3,1540,39,14,0
M,297.6,307.2,1470,42.6,44,0
L,299,310.4,1524,39.8,120,0
L,299.9,309.2,1333,50.8,61,0
L,301.2,310.7,1676,32.4,98,0
L,301.6,310.1,1362,55.8,70,1
M,301.6,310.2,1411,45.1,54,0
M,301.2,310.1,1479,45.5,44,0
L,301.6,310.9,1559,40.2,191,0
M,298.4,309,1507,36.1,191,0
L,301.3,310.5,1365,47.7,70,0
L,300.1,310.5,1492,50.9,111,0
L,299.2,308.5,1445,45.2,222,0
L,303.9,313.2,1481,44.1,197,0
M,295.7,306.2,1739,25.9,94,0
M,297.2,308,1478,42.5,56,0
L,302.5,311.4,1674,27,223,0
L,299.8,309.8,1749,33.4,153,0
M,303.7,312.3,1756,26.4,190,0
M,302.2,311.6,1386,50.5,69,0
L,297.4,308.7,1545,36.9,125,0
H,297.7,308.9,1479,40.9,87,0
L,303.5,312.6,1602,34.2,108,0
M,297.6,308.5,1431,52.6,26,0
L,301.2,311.4,1757,28,6,0
L,300.7,311.1,1478,46.8,165,0
L,301.5,310.7,1426,46.1,81,0
M,297.4,308.9,1376,39,181,0
L,302.2,311.5,1482,45.6,87,0
M,297.4,308,1601,34.6,181,0
L,303.3,311.4,1511,43.4,65,0
L,304,313.2,1632,30.6,121,0
